time,linear_x,angular_z
1778486551910128392,0.10999999999999999,0.0
1778486552010685531,0.10999999999999999,0.0
1778486552111499523,0.10999999999999999,0.0
1778486552212060559,0.10999999999999999,0.0
1778486552312689902,0.10999999999999999,0.0
1778486552413406403,0.10999999999999999,0.0
1778486552514130541,0.10999999999999999,0.0
1778486552614619687,0.10999999999999999,0.0
1778486552715228224,0.10999999999999999,0.0
1778486552816016373,0.10999999999999999,0.0
1778486552916597931,0.10999999999999999,0.0
1778486553017119461,0.10999999999999999,0.0
1778486553117791511,0.10999999999999999,0.0
1778486553218458795,0.10999999999999999,0.0
1778486553319164522,0.10999999999999999,0.0
1778486553419723899,0.10999999999999999,0.0
1778486553520340030,0.10999999999999999,0.0
1778486553620961118,0.10999999999999999,0.0
1778486553721614567,0.10999999999999999,0.0
1778486553822184945,0.10999999999999999,0.0
1778486553922813276,0.10999999999999999,0.0
1778486554023470682,0.10999999999999999,0.0
1778486554124290287,0.10999999999999999,0.0
1778486554224698880,0.10999999999999999,0.0
1778486554325442950,0.10999999999999999,0.0
1778486554426074980,0.10999999999999999,0.0
1778486554526702032,0.10999999999999999,0.0
1778486554627458861,0.10999999999999999,0.0
1778486554727738490,0.10999999999999999,0.0
1778486554828569170,0.10999999999999999,0.0
1778486554929226915,0.10999999999999999,0.0
1778486555029833276,0.10999999999999999,0.0
1778486555130660604,0.10999999999999999,0.0
1778486555231228140,0.10999999999999999,0.0
1778486555331945042,0.10999999999999999,0.0
1778486555432609020,0.10999999999999999,0.0
1778486555533247937,0.10999999999999999,0.0
1778486555633955483,0.10999999999999999,0.0
1778486555734611104,0.10999999999999999,0.0
1778486555835349800,0.10999999999999999,0.0
1778486555935893964,0.10999999999999999,0.0
1778486556036101635,0.10999999999999999,0.0
1778486556136416071,0.10999999999999999,0.0
1778486556236862523,0.10999999999999999,0.0
1778486556337679241,0.10999999999999999,0.0
1778486556437912586,0.10999999999999999,0.0
1778486556538201861,0.10999999999999999,0.0
1778486556638470826,0.10999999999999999,0.0
1778486556738787122,0.10999999999999999,0.0
1778486556839353344,0.10999999999999999,0.0
1778486556939751250,0.10999999999999999,0.0
1778486557040608131,0.10999999999999999,0.0
1778486557141149898,0.10999999999999999,0.0
1778486557241863578,0.10999999999999999,0.0
1778486557342590856,0.10999999999999999,0.0
1778486557443279692,0.10999999999999999,0.0
1778486557544016261,0.10999999999999999,0.0
1778486557644715351,0.10999999999999999,0.0
1778486557745427304,0.10999999999999999,0.0
1778486557846004567,0.10999999999999999,0.0
1778486557946242508,0.10999999999999999,0.0
1778486558047073735,0.10999999999999999,0.0
1778486558147352036,0.10999999999999999,0.0
1778486558247660194,0.10999999999999999,0.0
1778486558348516943,0.10999999999999999,0.0
1778486558449106283,0.10999999999999999,0.0
1778486558549684657,0.10999999999999999,0.0
1778486558650343059,0.10999999999999999,0.0
1778486558750953462,0.10999999999999999,0.0
1778486558851289224,0.10999999999999999,0.0
1778486558951994737,0.10999999999999999,0.0
1778486559052587778,0.10999999999999999,0.0
1778486559153336176,0.10999999999999999,0.0
1778486559253585069,0.10999999999999999,0.0
1778486559354435798,0.10999999999999999,0.0
1778486559455137448,0.10999999999999999,0.0
1778486559555743224,0.10999999999999999,0.0
1778486559656343386,0.10999999999999999,0.0
1778486559757095203,0.10999999999999999,0.0
1778486559857593974,0.10999999999999999,0.0
1778486559958343855,0.10999999999999999,0.0
1778486560058860755,0.10999999999999999,0.0
1778486560159669663,0.10999999999999999,0.0
1778486560260242287,0.10999999999999999,0.0
1778486560361023903,0.10999999999999999,0.0
1778486560461596814,0.10999999999999999,0.0
1778486560562153212,0.10999999999999999,0.0
1778486560663072339,0.10999999999999999,0.0
1778486560763652026,0.10999999999999999,0.0
1778486560864263150,0.10999999999999999,0.0
1778486560965051144,0.10999999999999999,0.0
1778486561065696391,0.10999999999999999,0.0
